Designator,Mid X,Mid Y,Rotation,Layer
B1,97.5708,-84.68,0.0,top
B2,84.6494,-75.9302,0.0,top
B3,97.6244,-67.6302,180.0,top
B4,110.0494,-75.9302,0.0,top
B5,121.8208,-74.1,0.0,top
B6,164.3126,-70.358,180.0,top
B7,110.0708,-69.4,0.0,top
C1,166.3192,-104.0638,180.0,top
C10,103.3684,-75.9302,270.0,top
C11,116.5352,-80.7466,270.0,top
C12,131.0708,-64.9,180.0,top
C13,128.5208,-74.1,270.0,top
C14,180.2821,-68.6312,0.0,top
C15,180.2059,-76.9624,0.0,top
C2,106.4708,-74.43,0.0,top
C24,172.7745,-98.0186,180.0,top
C25,176.2506,-91.186,90.0,top
C26,162.4076,-79.2734,180.0,top
C27,182.3466,-83.306,0.0,top
C3,183.8266,-106.8324,0.0,top
C4,183.8012,-97.79,0.0,top
C7,97.5684,-77.7032,180.0,top
C8,91.4184,-75.9032,270.0,top
C9,97.6184,-74.6892,180.0,top
CS1,163.4744,-88.773,0.0,top
D1,165.1762,-91.8972,0.0,top
D10,154.219999,-98.2976,270.0,top
D11,187.0458,-69.9798,90.0,top
D12,189.4806,-76.2958,270.0,top
D13,86.423206,-98.298,270.0,top
D14,189.4806,-80.1624,90.0,top
D15,187.1726,-84.6582,90.0,top
D2,172.2882,-102.3366,180.0,top
D3,94.897805,-98.2976,270.0,top
D4,103.372404,-98.2976,270.0,top
D5,111.847003,-98.2976,270.0,top
D6,120.321602,-98.2976,270.0,top
D7,128.796201,-98.2976,270.0,top
D8,137.2708,-98.2976,270.0,top
D9,145.745399,-98.2976,270.0,top
FID1,88.3708,-64.0,0.0,top
FID2,80.3656,-128.7272,0.0,top
FID3,189.3208,-66.51,0.0,top
FID4,189.4332,-110.5408,0.0,top
J1,96.4552,-118.0122,0.0,top
J3,158.1264,-118.0122,0.0,top
J4,144.8092,-118.0122,0.0,top
J6,83.0872,-118.0122,0.0,top
J8,186.205,-121.1834,0.0,top
L1,176.8028,-83.3374,180.0,top
Q1,125.1108,-67.0254,270.0,top
R1,106.4708,-76.94,0.0,top
R10,126.492,-90.8577,90.0,top
R11,134.9708,-90.8577,90.0,top
R12,143.4592,-90.8577,90.0,top
R13,151.9428,-90.8577,90.0,top
R14,97.197805,-90.8577,90.0,top
R15,105.672404,-90.8577,90.0,top
R16,114.147003,-90.8577,90.0,top
R17,122.682,-90.8577,90.0,top
R18,131.1148,-90.8577,90.0,top
R19,139.5476,-90.8577,90.0,top
R2,97.5684,-79.9384,0.0,top
R20,147.9804,-90.8577,90.0,top
R21,156.519999,-90.8577,90.0,top
R22,130.1972,-74.1,90.0,top
R23,127.6508,-67.0578,90.0,top
R24,122.5708,-67.007,270.0,top
R25,183.4134,-75.9206,90.0,top
R26,176.6245,-71.1712,270.0,top
R27,176.6245,-74.6256,90.0,top
R3,93.7044,-75.9032,90.0,top
R31,187.1692,-76.2508,270.0,top
R32,154.143,-87.5496,180.0,top
R33,154.1083,-85.6,180.0,top
R34,84.123206,-90.8577,90.0,top
R35,88.723206,-90.8577,90.0,top
R36,187.1692,-80.1849,90.0,top
R37,167.005,-84.201,270.0,top
R38,167.005,-87.851,90.0,top
R39,182.122,-91.186,270.0,top
R4,97.6184,-72.4032,0.0,top
R40,179.2013,-91.186,270.0,top
R5,101.0824,-75.9302,90.0,top
R6,92.597805,-90.8577,90.0,top
R7,101.072404,-90.8577,90.0,top
R8,109.547003,-90.8577,90.0,top
R9,118.0084,-90.8577,90.0,top
RA1,159.6824,-88.773,0.0,top
RD1,159.512,-91.8972,0.0,top
RS1,160.274,-105.664,90.0,top
SP1,185.8518,-111.5822,270.0,bottom
SP10,87.831712,-106.421675,180.0,bottom
SP2,94.765912,-106.421675,180.0,bottom
SP3,103.249512,-106.421675,180.0,bottom
SP4,111.885512,-106.421675,180.0,bottom
SP5,120.267512,-106.421675,180.0,bottom
SP6,128.903512,-106.421675,180.0,bottom
SP7,137.285512,-106.421675,180.0,bottom
SP8,145.921512,-106.675675,180.0,bottom
SP9,154.200424,-106.67135,180.0,bottom
TVS1,172.3107,-107.9246,0.0,top
TVS10,87.9602,-106.426,0.0,top
TVS2,94.856114,-106.426,0.0,top
TVS3,103.352228,-106.426,0.0,top
TVS4,111.848342,-106.426,0.0,top
TVS5,120.344456,-106.426,0.0,top
TVS6,128.84057,-106.426,0.0,top
TVS7,137.336684,-106.426,0.0,top
TVS8,145.832798,-106.68,0.0,top
TVS9,154.328912,-106.675675,0.0,top
U$1,119.9708,-64.0,270.0,top
U1,165.2687,-98.7362,270.0,top
U2,3.525,-5.7,0.0,top
U4,122.6006,-82.5246,90.0,top
U5,143.6258,-71.935,0.0,top
U6,180.3075,-72.873,270.0,top
U7,182.3466,-87.0458,0.0,top
Y1,183.3626,-71.9328,90.0,top
